starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 08 21:11:54 2014	1402254714	0	56	56	56
Sun Jun 08 21:11:51 2014	1402254711	0	57	57	56
Sun Jun 08 21:11:52 2014	1402254712	0	57	57	57
Sun Jun 08 21:11:51 2014	1402254711	0	58	58	58
Sun Jun 08 21:11:54 2014	1402254714	0	59	59	59
Sun Jun 08 21:11:49 2014	1402254709	0	62	62	62
Sun Jun 08 21:11:50 2014	1402254710	0	63	63	62
Sun Jun 08 21:11:50 2014	1402254710	0	63	63	63
Sun Jun 08 21:11:51 2014	1402254711	0	64	64	63
Sun Jun 08 21:11:53 2014	1402254713	0	66	66	65
Sun Jun 08 21:11:51 2014	1402254711	0	66	66	65
Sun Jun 08 21:11:52 2014	1402254712	0	66	66	66
Sun Jun 08 21:11:51 2014	1402254711	0	66	66	65
Sun Jun 08 21:11:52 2014	1402254712	0	66	66	66
Sun Jun 08 21:11:52 2014	1402254712	0	66	66	66
Sun Jun 08 21:11:51 2014	1402254711	0	66	66	66
Sun Jun 08 21:11:53 2014	1402254713	0	66	66	66
Sun Jun 08 21:11:53 2014	1402254713	0	66	66	66
Sun Jun 08 21:11:53 2014	1402254713	0	66	66	66
Sun Jun 08 21:11:51 2014	1402254711	0	66	66	66
Sun Jun 08 21:11:52 2014	1402254712	0	66	66	66
Sun Jun 08 21:11:50 2014	1402254710	0	68	68	67
Sun Jun 08 21:11:50 2014	1402254710	0	68	68	67
Sun Jun 08 21:11:52 2014	1402254712	0	68	68	68
Sun Jun 08 21:11:51 2014	1402254711	0	69	69	68
Sun Jun 08 21:11:51 2014	1402254711	0	69	69	68
Sun Jun 08 21:11:51 2014	1402254711	0	69	69	68
Sun Jun 08 21:11:50 2014	1402254710	0	69	69	68
Sun Jun 08 21:11:51 2014	1402254711	0	69	69	68
Sun Jun 08 21:11:52 2014	1402254712	0	69	69	69
Sun Jun 08 21:11:51 2014	1402254711	0	69	69	68
Sun Jun 08 21:11:50 2014	1402254710	0	69	69	68
Sun Jun 08 21:11:51 2014	1402254711	0	69	69	69
Sun Jun 08 21:11:50 2014	1402254710	0	69	69	69
Sun Jun 08 21:11:50 2014	1402254710	0	69	69	69
Sun Jun 08 21:11:52 2014	1402254712	0	70	70	69
Sun Jun 08 21:11:50 2014	1402254710	0	70	70	69
Sun Jun 08 21:11:51 2014	1402254711	0	70	70	69
Sun Jun 08 21:11:51 2014	1402254711	0	70	70	70
Sun Jun 08 21:11:53 2014	1402254713	0	71	71	70
Sun Jun 08 21:11:50 2014	1402254710	0	71	71	70
Sun Jun 08 21:11:50 2014	1402254710	0	71	71	71
Sun Jun 08 21:11:50 2014	1402254710	0	71	71	71
Sun Jun 08 21:11:49 2014	1402254709	0	71	71	71
Sun Jun 08 21:11:51 2014	1402254711	0	71	71	71
Sun Jun 08 21:11:53 2014	1402254713	0	72	72	71
Sun Jun 08 21:11:51 2014	1402254711	0	72	72	71
Sun Jun 08 21:11:51 2014	1402254711	0	72	72	71
Sun Jun 08 21:11:50 2014	1402254710	0	72	72	71
Sun Jun 08 21:11:49 2014	1402254709	0	72	72	71
Sun Jun 08 21:11:51 2014	1402254711	0	72	72	71
Sun Jun 08 21:11:50 2014	1402254710	0	72	72	71
Sun Jun 08 21:11:51 2014	1402254711	0	72	72	71
Sun Jun 08 21:11:52 2014	1402254712	0	72	72	71
Sun Jun 08 21:11:50 2014	1402254710	0	72	72	71
Sun Jun 08 21:11:50 2014	1402254710	0	72	72	71
Sun Jun 08 21:11:50 2014	1402254710	0	72	72	71
Sun Jun 08 21:11:53 2014	1402254713	0	72	72	71
Sun Jun 08 21:11:53 2014	1402254713	0	72	72	70
Sun Jun 08 21:11:49 2014	1402254709	0	72	72	72
Sun Jun 08 21:11:50 2014	1402254710	0	72	72	72
Sun Jun 08 21:11:49 2014	1402254709	0	72	72	72
Sun Jun 08 21:11:51 2014	1402254711	0	73	73	72
Sun Jun 08 21:11:52 2014	1402254712	0	73	73	72
Sun Jun 08 21:11:52 2014	1402254712	0	73	73	72
Sun Jun 08 21:11:50 2014	1402254710	0	73	73	72
Sun Jun 08 21:11:53 2014	1402254713	0	73	73	73
Sun Jun 08 21:11:18 2014	1402254678	0	73	73	73
Sun Jun 08 21:11:53 2014	1402254713	0	74	74	73
Sun Jun 08 21:11:51 2014	1402254711	0	74	74	73
Sun Jun 08 21:11:53 2014	1402254713	0	74	74	73
Sun Jun 08 21:11:37 2014	1402254697	0	74	74	73
Sun Jun 08 21:11:52 2014	1402254712	0	74	74	73
Sun Jun 08 21:11:49 2014	1402254709	0	74	74	73
Sun Jun 08 21:11:52 2014	1402254712	0	74	74	73
Sun Jun 08 21:11:53 2014	1402254713	0	74	74	73
Sun Jun 08 21:11:50 2014	1402254710	0	74	74	74
Sun Jun 08 21:11:49 2014	1402254709	0	74	74	73
Sun Jun 08 21:11:51 2014	1402254711	0	74	74	73
Sun Jun 08 21:11:52 2014	1402254712	0	74	74	73
Sun Jun 08 21:11:50 2014	1402254710	0	74	74	74
Sun Jun 08 21:11:51 2014	1402254711	0	74	74	74
Sun Jun 08 21:11:51 2014	1402254711	0	74	74	74
Sun Jun 08 21:11:53 2014	1402254713	0	74	74	74
Sun Jun 08 21:11:50 2014	1402254710	0	74	74	74
Sun Jun 08 21:11:51 2014	1402254711	0	74	74	74
Sun Jun 08 21:11:52 2014	1402254712	0	74	74	74
Sun Jun 08 21:11:53 2014	1402254713	0	74	74	74
Sun Jun 08 21:11:50 2014	1402254710	0	74	74	74
Sun Jun 08 21:11:53 2014	1402254713	0	74	74	74
Sun Jun 08 21:11:51 2014	1402254711	0	74	74	74
Sun Jun 08 21:11:51 2014	1402254711	0	74	74	74
Sun Jun 08 21:11:51 2014	1402254711	0	74	74	74
Sun Jun 08 21:11:50 2014	1402254710	0	74	74	74
Sun Jun 08 21:11:53 2014	1402254713	0	74	74	74
Sun Jun 08 21:11:50 2014	1402254710	0	74	74	74
Sun Jun 08 21:11:52 2014	1402254712	0	74	74	74
Sun Jun 08 21:11:52 2014	1402254712	0	74	74	74
Sun Jun 08 21:11:51 2014	1402254711	0	74	74	74
Sun Jun 08 21:11:51 2014	1402254711	0	74	74	74
Sun Jun 08 21:11:53 2014	1402254713	0	74	74	74
Sun Jun 08 21:11:50 2014	1402254710	0	74	74	74
Sun Jun 08 21:11:51 2014	1402254711	0	75	75	74
Sun Jun 08 21:11:53 2014	1402254713	0	75	75	74
Sun Jun 08 21:11:50 2014	1402254710	0	75	75	74
Sun Jun 08 21:11:51 2014	1402254711	0	75	75	74
Sun Jun 08 21:11:52 2014	1402254712	0	75	75	74
Sun Jun 08 21:11:50 2014	1402254710	0	75	75	74
Sun Jun 08 21:11:50 2014	1402254710	0	75	75	74
Sun Jun 08 21:11:51 2014	1402254711	0	75	75	74
Sun Jun 08 21:11:50 2014	1402254710	0	75	75	74
Sun Jun 08 21:11:53 2014	1402254713	0	75	75	74
Sun Jun 08 21:11:18 2014	1402254678	0	75	75	74
Sun Jun 08 21:11:52 2014	1402254712	0	75	75	74
Sun Jun 08 21:11:53 2014	1402254713	0	75	75	74
Sun Jun 08 21:11:37 2014	1402254697	0	75	75	75
Sun Jun 08 21:11:51 2014	1402254711	0	75	75	68
Sun Jun 08 21:11:50 2014	1402254710	0	75	75	75
Sun Jun 08 21:11:52 2014	1402254712	0	75	75	75
Sun Jun 08 21:11:49 2014	1402254709	0	75	75	75
Sun Jun 08 21:11:51 2014	1402254711	0	76	76	74
Sun Jun 08 21:11:50 2014	1402254710	0	76	76	75
Sun Jun 08 21:11:51 2014	1402254711	0	76	76	76
Sun Jun 08 21:11:49 2014	1402254709	0	76	76	76
Sun Jun 08 21:11:52 2014	1402254712	0	76	76	76
Sun Jun 08 21:11:52 2014	1402254712	0	76	76	76
Sun Jun 08 21:11:50 2014	1402254710	0	77	77	76
Sun Jun 08 21:11:49 2014	1402254709	0	77	77	76
Sun Jun 08 21:11:52 2014	1402254712	0	77	77	76
Sun Jun 08 21:11:50 2014	1402254710	0	77	77	76
Sun Jun 08 21:11:49 2014	1402254709	0	77	77	76
Sun Jun 08 21:11:51 2014	1402254711	0	77	77	76
Sun Jun 08 21:11:50 2014	1402254710	0	77	77	76
Sun Jun 08 21:11:53 2014	1402254713	0	77	77	76
Sun Jun 08 21:11:52 2014	1402254712	0	77	77	76
Sun Jun 08 21:11:52 2014	1402254712	0	77	77	76
Sun Jun 08 21:11:51 2014	1402254711	0	77	77	76
Sun Jun 08 21:11:52 2014	1402254712	0	77	77	77
Sun Jun 08 21:11:53 2014	1402254713	0	77	77	76
Sun Jun 08 21:11:53 2014	1402254713	0	77	77	76
Sun Jun 08 21:11:49 2014	1402254709	0	77	77	77
Sun Jun 08 21:11:52 2014	1402254712	0	77	77	77
Sun Jun 08 21:11:51 2014	1402254711	0	77	77	77
