starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 09 17:29:19 2014	1402327759	104	241	345	236
Mon Jun 09 17:29:19 2014	1402327759	105	255	360	250
Mon Jun 09 17:29:19 2014	1402327759	105	257	363	244
Mon Jun 09 17:29:19 2014	1402327759	106	263	370	257
Mon Jun 09 17:29:19 2014	1402327759	107	269	376	265
Mon Jun 09 17:29:19 2014	1402327759	108	276	383	270
Mon Jun 09 17:29:19 2014	1402327759	109	282	390	276
Mon Jun 09 17:29:19 2014	1402327759	109	288	397	282
Mon Jun 09 17:29:19 2014	1402327759	110	294	404	288
Mon Jun 09 17:29:19 2014	1402327759	100	2867	2967	1435
